Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error,New_Column
_03_Current_and_Capital_Expenditure:_Capital_Expenditure:_Total,Sector,01_Business Sector,2023,332,R,NZ Dollars (millions),1 and 12 and 28,25.6,Sector
_12b_Purpose_of_research:_Manufacturing,Sector,01_Business Sector,2022,560,R,NZ Dollars (millions),1 and 12 and 15 and 28,8.8,Sector
_13_Broad_purpose_of_research:_Society,Industry,03_Services Industry Group,2023,371,R,NZ Dollars (millions),12 and 15 and 19 and 28,22.3,Industry
_22a_Personnel_by_Occupation:_FTE:_Researcher_Employees,Published_Industry,12_Computer services,2023,5000,R,Number of employees,14 and 28,12.9,Published_Industry
_37_Personnel_by_Qualification:_FTE:_Total,ANZSIC_1_Digit,C_Manufacturing,2022,4900,R,Number of employees,14 and 28,5.9,ANZSIC_1_Digit
_04_Current_and_Capital_Expenditure:_Other_current_expenditure,Published_Industry,02_Food_Manufacturing,2023,64,R,NZ Dollars (millions),12 and 28,19.6,Published_Industry
_11_Broad_purpose_of_research:_Primary_Industries,Total,Total,2022,755,R,NZ Dollars (millions),12 and 15 and 17 and 28,7.9,Total
_13a_Purpose_of_research:_Health,Sector,01_Business Sector,2023,497,R,NZ Dollars (millions),1 and 12 and 15 and 28,16.1,Sector
_11a_Purpose_of_research:_Primary:_Total,Industry,02_Manufacturing Industry Group,2022,151,R,NZ Dollars (millions),12 and 15 and 28,17.4,Industry
_12ci_Purpose_of_research:_Construction,Total,Total,2022,185,R,NZ Dollars (millions),12 and 15 and 28,10.8,Total
_12d_Purpose_of_research:_Information_and_communication_services,Industry,03_Services Industry Group,2022,594,R,NZ Dollars (millions),12 and 15 and 28,20.1,Industry
_17_Type_of_research:_Experimental,Published_Industry,10_Wholesale trade,2023,127,R,NZ Dollars (millions),12 and 26 and 28,16.3,Published_Industry
_06_Source_of_Funds:_New_Zealand_Private_sector,Total,Total,2022,2725,R,NZ Dollars (millions),12 and 28,5.9,Total
_04_Current_and_Capital_Expenditure:_Other_current_expenditure,Sector,01_Business Sector,2022,961,R,NZ Dollars (millions),1 and 12 and 28,6.8,Sector
_12c_Purpose_of_research:_Construction_and_transport:_Total,Published_Industry,12_Computer services,2023,118,R,NZ Dollars (millions),12 and 15 and 28,19.7,Published_Industry
_11a_Purpose_of_research:_Primary:_Total,Published_Industry,11_Scientific research and technical services,2023,82,R,NZ Dollars (millions),12 and 15 and 28,34.2,Published_Industry
_11ai_Purpose_of_research:_Primary:_Plant_production_and_plant_primary_products,Size,06_100 or more employees,2022,240,R,NZ Dollars (millions),5 and 12 and 15 and 28,6.2,Size
_12b_Purpose_of_research:_Manufacturing,Industry,03_Services Industry Group,2023,189,R,NZ Dollars (millions),12 and 15 and 28,16.5,Industry
_13_Broad_purpose_of_research:_Society,Total,Total,2022,1125,R,NZ Dollars (millions),12 and 15 and 19 and 28,5.7,Total
_14_Broad_purpose_of_research:_Other,Industry,03_Services Industry Group,2023,281,R,NZ Dollars (millions),12 and 15 and 20 and 28,20.7,Industry
_17_Type_of_research:_Experimental,Published_Industry,02_Food_Manufacturing,2023,54,R,NZ Dollars (millions),12 and 26 and 28,25.3,Published_Industry
_12cii_Purpose_of_research:_Transport,Published_Industry,08_Machinery and equipment manufacturing,2023,74,R,NZ Dollars (millions),12 and 15 and 28,19.2,Published_Industry
_11a_Purpose_of_research:_Primary:_Total,Total,Total,2022,755,R,NZ Dollars (millions),12 and 15 and 28,7.9,Total
_30_Personnel_by_Qualification:_Headcount:_Other_qualifications,Published_Industry,02_Food_Manufacturing,2023,200,R,Number of employees,14 and 28,29.1,Published_Industry
_13a_Purpose_of_research:_Health,Size,06_100 or more employees,2022,543,R,NZ Dollars (millions),5 and 12 and 15 and 28,6.7,Size
_16_Type_of_research:_Applied,Published_Industry,13_Other services,2022,211,R,NZ Dollars (millions),4 and 12 and 25 and 28,16.2,Published_Industry
_17_Type_of_research:_Experimental,ANZSIC_1_Digit,F_Wholesale Trade,2022,125,R,NZ Dollars (millions),12 and 26 and 28,11.6,ANZSIC_1_Digit
_26_Personnel_by_Qualification:_Headcount:_PhD,Industry,02_Manufacturing Industry Group,2023,490,R,Number of employees,14 and 28,10.6,Industry
_14_Broad_purpose_of_research:_Other,Published_Industry,10_Wholesale trade,2022,33,R,NZ Dollars (millions),12 and 15 and 20 and 28,19.3,Published_Industry
_14_Broad_purpose_of_research:_Other,Total,Total,2022,948,R,NZ Dollars (millions),12 and 15 and 20 and 28,4.5,Total
_14c_Purpose_of_research:_Other,Sector,01_Business Sector,2023,222,R,NZ Dollars (millions),1 and 12 and 15 and 16 and 28,23.8,Sector
_15_Type_of_research:_Basic:_Total,Size,06_100 or more employees,2022,950,R,NZ Dollars (millions),5 and 12 and 22 and 28,2.4,Size
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,Published_Industry,02_Food_Manufacturing,2023,83,R,NZ Dollars (millions),12 and 28,13.2,Published_Industry
_12d_Purpose_of_research:_Information_and_communication_services,Total,Total,2022,708,R,NZ Dollars (millions),12 and 15 and 28,16.9,Total
_13_Broad_purpose_of_research:_Society,Sector,01_Business Sector,2023,627,R,NZ Dollars (millions),1 and 12 and 15 and 19 and 28,15.3,Sector
_16_Type_of_research:_Applied,Size,01_Zero employees,2022,76,R,NZ Dollars (millions),5 and 12 and 25 and 28,34.7,Size
_37_Personnel_by_Qualification:_FTE:_Total,Industry,03_Services Industry Group,2023,14000,R,Number of employees,14 and 28,7.8,Industry
_04_Current_and_Capital_Expenditure:_Other_current_expenditure,Sector,01_Business Sector,2023,1142,R,NZ Dollars (millions),1 and 12 and 28,8.9,Sector
_01_Total_RD_Expenditure,Sector,01_Business Sector,2022,3182,R,NZ Dollars (millions),1 and 12,5.6,Sector
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,Published_Industry,12_Computer services,2022,853,R,NZ Dollars (millions),12 and 15 and 18 and 28,13,Published_Industry
_12cii_Purpose_of_research:_Transport,Total,Total,2022,167,R,NZ Dollars (millions),12 and 15 and 28,14.6,Total
_16_Type_of_research:_Applied,Industry,03_Services Industry Group,2022,845,R,NZ Dollars (millions),12 and 25 and 28,9,Industry
_03_Current_and_Capital_Expenditure:_Capital_Expenditure:_Total,Industry,02_Manufacturing Industry Group,2023,70,R,NZ Dollars (millions),12 and 28,11.9,Industry
_11aii_Purpose_of_research:_Primary:_Animal_production_and_animal_primary_products,Sector,01_Business Sector,2022,179,R,NZ Dollars (millions),1 and 12 and 15 and 28,15,Sector
_16_Type_of_research:_Applied,Industry,02_Manufacturing Industry Group,2023,357,R,NZ Dollars (millions),12 and 25 and 28,9,Industry
_22_Personnel_by_Occupation:_FTE:_Researcher_Total,Published_Industry,12_Computer services,2023,5000,R,Number of employees,14 and 28,12.9,Published_Industry
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,Published_Industry,12_Computer services,2022,818,R,NZ Dollars (millions),12 and 28,12.4,Published_Industry
_12e_Purpose_of_research:_Commercial_services_and_tourism,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,317,R,NZ Dollars (millions),12 and 15 and 28,16.6,ANZSIC_1_Digit
_01_Total_RD_Expenditure,Published_Industry,10_Wholesale trade,2022,192,R,NZ Dollars (millions),12,10.5,Published_Industry
_13a_Purpose_of_research:_Health,Total,Total,2022,711,R,NZ Dollars (millions),12 and 15 and 28,7.2,Total
_16_Type_of_research:_Applied,Published_Industry,08_Machinery and equipment manufacturing,2022,207,R,NZ Dollars (millions),12 and 25 and 28,9.1,Published_Industry
_24_Personnel_by_Occupation:_FTE:_Other_supporting_staff,Industry,02_Manufacturing Industry Group,2022,550,R,Number of employees,14 and 28,13.1,Industry
_26_Personnel_by_Qualification:_Headcount:_PhD,Published_Industry,02_Food_Manufacturing,2023,100,R,Number of employees,14 and 28,26.2,Published_Industry
_32_Personnel_by_Qualification:_FTE:_PhD,Industry,02_Manufacturing Industry Group,2022,350,R,Number of employees,14 and 28,11.7,Industry
_01_Total_RD_Expenditure,Industry,01_Primary Industry Group,2022,89,R,NZ Dollars (millions),12,42.8,Industry
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,Published_Industry,12_Computer services,2023,704,R,NZ Dollars (millions),12 and 28,15.8,Published_Industry
_06_Source_of_Funds:_New_Zealand_Private_sector,Industry,02_Manufacturing Industry Group,2023,957,R,NZ Dollars (millions),12 and 28,5.9,Industry
_12c_Purpose_of_research:_Construction_and_transport:_Total,Size,06_100 or more employees,2022,211,R,NZ Dollars (millions),5 and 12 and 15 and 28,8.2,Size
_12e_Purpose_of_research:_Commercial_services_and_tourism,Published_Industry,12_Computer services,2022,284,R,NZ Dollars (millions),12 and 15 and 28,18.1,Published_Industry
_15_Type_of_research:_Basic:_Total,Industry,03_Services Industry Group,2022,159,R,NZ Dollars (millions),12 and 22 and 28,17.1,Industry
_16_Type_of_research:_Applied,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,1014,R,NZ Dollars (millions),12 and 25 and 28,6.8,ANZSIC_1_Digit
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,Industry,02_Manufacturing Industry Group,2023,596,R,NZ Dollars (millions),12 and 15 and 18 and 28,6.5,Industry
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,Size,06_100 or more employees,2022,1489,R,NZ Dollars (millions),5 and 12 and 15 and 18 and 28,7.1,Size
_21_Personnel_by_Occupation:_Headcount:_Total,Sector,01_Business Sector,2023,29000,R,Number of employees,1 and 14 and 28,5.8,Sector
_12b_Purpose_of_research:_Manufacturing,Total,Total,2022,735,R,NZ Dollars (millions),12 and 15 and 28,6.7,Total
_14b_Purpose_of_research:_Environment,Total,Total,2022,592,R,NZ Dollars (millions),12 and 15 and 28,2.6,Total
_01_Total_RD_Expenditure,Published_Industry,12_Computer services,2022,1063,R,NZ Dollars (millions),12,11.8,Published_Industry
_01_Total_RD_Expenditure,Published_Industry,13_Other services,2023,861,R,NZ Dollars (millions),4 and 12,19.8,Published_Industry
_13_Broad_purpose_of_research:_Society,Published_Industry,10_Wholesale trade,2023,44,R,NZ Dollars (millions),12 and 15 and 19 and 28,20.5,Published_Industry
_23_Personnel_by_Occupation:_FTE:_Technician,Industry,03_Services Industry Group,2022,4700,R,Number of employees,14 and 28,11.2,Industry
_15_Type_of_research:_Basic:_Total,Total,Total,2022,1044,R,NZ Dollars (millions),12 and 22 and 28,2.9,Total
_28_Personnel_by_Qualification:_Headcount:_Bachelor_degrees_or_equivalent,Published_Industry,12_Computer services,2023,6900,R,Number of employees,14 and 28,10.4,Published_Industry
_53_Funding_of_RD_undertaken_externally_by_the:_Tertiary_Sector,Industry,02_Manufacturing Industry Group,2023,8,R,NZ Dollars (millions),7 and 9 and 28,43.8,Industry
_09_Source_of_Funds:_Overseas,Industry,03_Services Industry Group,2022,343,R,NZ Dollars (millions),12 and 28,18.8,Industry
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,ANZSIC_1_Digit,C_Manufacturing,2022,491,R,NZ Dollars (millions),12 and 15 and 18 and 28,6.5,ANZSIC_1_Digit
_19_Personnel_by_Occupation:_Headcount:_Technician,Published_Industry,02_Food_Manufacturing,2022,320,R,Number of employees,14 and 28,19.2,Published_Industry
_35_Personnel_by_Qualification:_FTE:_Technical_and_trade_qualifications,Published_Industry,02_Food_Manufacturing,2023,45,R,Number of employees,14 and 28,24.4,Published_Industry
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Industry,02_Manufacturing Industry Group,2023,65,R,NZ Dollars (millions),12 and 28,11.9,Industry
_09_Source_of_Funds:_Overseas,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,335,R,NZ Dollars (millions),12 and 28,18.5,ANZSIC_1_Digit
_06_Source_of_Funds:_New_Zealand_Private_sector,Size,06_100 or more employees,2022,1584,R,NZ Dollars (millions),5 and 12 and 28,6.9,Size
_17_Type_of_research:_Experimental,Published_Industry,11_Scientific research and technical services,2022,168,R,NZ Dollars (millions),12 and 26 and 28,11.7,Published_Industry
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,Sector,01_Business Sector,2023,2247,R,NZ Dollars (millions),1 and 12 and 28,6.8,Sector
_09_Source_of_Funds:_Overseas,Sector,01_Business Sector,2023,472,R,NZ Dollars (millions),1 and 12 and 28,14.5,Sector
_35_Personnel_by_Qualification:_FTE:_Technical_and_trade_qualifications,Size,06_100 or more employees,2022,810,R,Number of employees,5 and 14 and 28,6.7,Size
_09a_Source_of_Funds:_Overseas:_Overseas_organisation_in_the_same_group,Published_Industry,12_Computer services,2023,190,R,NZ Dollars (millions),12 and 28,24.1,Published_Industry
_11_Broad_purpose_of_research:_Primary_Industries,Industry,03_Services Industry Group,2023,268,R,NZ Dollars (millions),12 and 15 and 17 and 28,19.2,Industry
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,Published_Industry,07_Metal product manufacturing,2022,62,R,NZ Dollars (millions),12 and 15 and 18 and 28,13.4,Published_Industry
_06_Source_of_Funds:_New_Zealand_Private_sector,Published_Industry,12_Computer services,2022,805,R,NZ Dollars (millions),12 and 28,13.5,Published_Industry
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,ANZSIC_1_Digit,C_Manufacturing,2022,73,R,NZ Dollars (millions),12 and 28,8.8,ANZSIC_1_Digit
_06_Source_of_Funds:_New_Zealand_Private_sector,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2023,14,R,NZ Dollars (millions),3 and 12 and 28,27.8,Published_Industry
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,Industry,03_Services Industry Group,2022,1481,R,NZ Dollars (millions),12 and 15 and 18 and 28,9.9,Industry
_18a_Personnel_by_Occupation:_Headcount:_Researcher_Employees,Published_Industry,02_Food_Manufacturing,2022,500,R,Number of employees,14 and 28,10.7,Published_Industry
_03_Current_and_Capital_Expenditure:_Capital_Expenditure:_Total,Industry,03_Services Industry Group,2023,252,R,NZ Dollars (millions),12 and 28,33.5,Industry
_17_Type_of_research:_Experimental,Sector,01_Business Sector,2023,1989,R,NZ Dollars (millions),1 and 12 and 26 and 28,9.1,Sector
_28_Personnel_by_Qualification:_Headcount:_Bachelor_degrees_or_equivalent,Published_Industry,02_Food_Manufacturing,2023,610,R,Number of employees,14 and 28,15.7,Published_Industry
_03_Current_and_Capital_Expenditure:_Capital_Expenditure:_Total,Published_Industry,08_Machinery and equipment manufacturing,2022,69,R,NZ Dollars (millions),12 and 28,11.5,Published_Industry
_34_Personnel_by_Qualification:_FTE:_Bachelor_degrees_or_equivalent_and_post_graduate_qualifications,Sector,01_Business Sector,2023,15000,R,Number of employees,1 and 14 and 28,6.5,Sector
_09a_Source_of_Funds:_Overseas:_Overseas_organisation_in_the_same_group,Published_Industry,12_Computer services,2022,189,R,NZ Dollars (millions),12 and 28,28.6,Published_Industry
_11_Broad_purpose_of_research:_Primary_Industries,Sector,01_Business Sector,2022,416,R,NZ Dollars (millions),1 and 12 and 15 and 17 and 28,14.1,Sector
_06_Source_of_Funds:_New_Zealand_Private_sector,Industry,02_Manufacturing Industry Group,2022,788,R,NZ Dollars (millions),12 and 28,5.7,Industry
_09a_Source_of_Funds:_Overseas:_Overseas_organisation_in_the_same_group,Published_Industry,10_Wholesale trade,2022,16,R,NZ Dollars (millions),12 and 28,16.1,Published_Industry
_10_Source_of_Funds:_Other_funding_sources,Sector,01_Business Sector,2023,59,R,NZ Dollars (millions),1 and 12 and 28,24,Sector
_24_Personnel_by_Occupation:_FTE:_Other_supporting_staff,Published_Industry,02_Food_Manufacturing,2023,75,R,Number of employees,14 and 28,31.8,Published_Industry
_25_Personnel_by_Occupation:_FTE:_Total,ANZSIC_1_Digit,C_Manufacturing,2022,4800,R,Number of employees,14 and 28,5.9,ANZSIC_1_Digit
_13a_Purpose_of_research:_Health,Published_Industry,10_Wholesale trade,2023,42,R,NZ Dollars (millions),12 and 15 and 28,21.3,Published_Industry
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,1361,R,NZ Dollars (millions),12 and 28,7.7,ANZSIC_1_Digit
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,Published_Industry,03_Beverage and tobacco manufacturing,2023,8,R,NZ Dollars (millions),3 and 12 and 28,11.9,Published_Industry
_11_Broad_purpose_of_research:_Primary_Industries,Sector,01_Business Sector,2023,540,R,NZ Dollars (millions),1 and 12 and 15 and 17 and 28,14.6,Sector
_11aii_Purpose_of_research:_Primary:_Animal_production_and_animal_primary_products,Published_Industry,02_Food_Manufacturing,2023,63,R,NZ Dollars (millions),12 and 15 and 28,21.8,Published_Industry
_12e_Purpose_of_research:_Commercial_services_and_tourism,Total,Total,2022,369,R,NZ Dollars (millions),12 and 15 and 28,14.7,Total
_01_Total_RD_Expenditure,Published_Industry,10_Wholesale trade,2023,223,R,NZ Dollars (millions),12,13.8,Published_Industry
_11_Broad_purpose_of_research:_Primary_Industries,Published_Industry,02_Food_Manufacturing,2022,68,R,NZ Dollars (millions),12 and 15 and 17 and 28,18.1,Published_Industry
_11aii_Purpose_of_research:_Primary:_Animal_production_and_animal_primary_products,Industry,03_Services Industry Group,2023,108,R,NZ Dollars (millions),12 and 15 and 28,15.2,Industry
_21_Personnel_by_Occupation:_Headcount:_Total,Industry,03_Services Industry Group,2023,21000,R,Number of employees,14 and 28,7.6,Industry
_04_Current_and_Capital_Expenditure:_Other_current_expenditure,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,791,R,NZ Dollars (millions),12 and 28,4.4,ANZSIC_1_Digit
_11a_Purpose_of_research:_Primary:_Total,Published_Industry,02_Food_Manufacturing,2023,69,R,NZ Dollars (millions),12 and 15 and 28,21.1,Published_Industry
_01_Total_RD_Expenditure,Published_Industry,08_Machinery and equipment manufacturing,2022,538,R,NZ Dollars (millions),12,8.2,Published_Industry
_06_Source_of_Funds:_New_Zealand_Private_sector,Sector,01_Business Sector,2022,2506,R,NZ Dollars (millions),1 and 12 and 28,6.4,Sector
_32_Personnel_by_Qualification:_FTE:_PhD,Published_Industry,02_Food_Manufacturing,2023,75,R,Number of employees,14 and 28,28.5,Published_Industry
_17_Type_of_research:_Experimental,Published_Industry,12_Computer services,2022,539,R,NZ Dollars (millions),12 and 26 and 28,15.9,Published_Industry
_34_Personnel_by_Qualification:_FTE:_Bachelor_degrees_or_equivalent_and_post_graduate_qualifications,Published_Industry,12_Computer services,2023,5800,R,Number of employees,14 and 28,11.9,Published_Industry
_35_Personnel_by_Qualification:_FTE:_Technical_and_trade_qualifications,Published_Industry,02_Food_Manufacturing,2022,55,R,Number of employees,14 and 28,20.7,Published_Industry
_36_Personnel_by_Qualification:_FTE:_Other_qualifications,Industry,02_Manufacturing Industry Group,2023,700,R,Number of employees,14 and 28,9.4,Industry
_01_Total_RD_Expenditure,Published_Industry,12_Computer services,2023,1081,R,NZ Dollars (millions),12,12.6,Published_Industry
_21_Personnel_by_Occupation:_Headcount:_Total,Published_Industry,02_Food_Manufacturing,2022,1000,R,Number of employees,14 and 28,11.7,Published_Industry
_06_Source_of_Funds:_New_Zealand_Private_sector,Published_Industry,02_Food_Manufacturing,2022,141,R,NZ Dollars (millions),12 and 28,10.9,Published_Industry
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,Industry,02_Manufacturing Industry Group,2022,491,R,NZ Dollars (millions),12 and 15 and 18 and 28,6.5,Industry
_12b_Purpose_of_research:_Manufacturing,Industry,02_Manufacturing Industry Group,2022,325,R,NZ Dollars (millions),12 and 15 and 28,8.3,Industry
_14_Broad_purpose_of_research:_Other,Sector,01_Business Sector,2022,277,R,NZ Dollars (millions),1 and 12 and 15 and 20 and 28,14.4,Sector
_16_Type_of_research:_Applied,Published_Industry,12_Computer services,2022,448,R,NZ Dollars (millions),12 and 25 and 28,13.6,Published_Industry
_21_Personnel_by_Occupation:_Headcount:_Total,Industry,02_Manufacturing Industry Group,2022,6900,R,Number of employees,14 and 28,7.3,Industry
_28_Personnel_by_Qualification:_Headcount:_Bachelor_degrees_or_equivalent,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,14000,R,Number of employees,14 and 28,7.7,ANZSIC_1_Digit
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Published_Industry,13_Other services,2022,72,R,NZ Dollars (millions),4 and 12 and 21 and 28,26.4,Published_Industry
_12c_Purpose_of_research:_Construction_and_transport:_Total,Published_Industry,12_Computer services,2022,116,R,NZ Dollars (millions),12 and 15 and 28,14.3,Published_Industry
_28_Personnel_by_Qualification:_Headcount:_Bachelor_degrees_or_equivalent,Sector,01_Business Sector,2023,21000,R,Number of employees,1 and 14 and 28,6.7,Sector
_04_Current_and_Capital_Expenditure:_Other_current_expenditure,Size,06_100 or more employees,2022,1385,R,NZ Dollars (millions),5 and 12 and 28,3.1,Size
_15_Type_of_research:_Basic:_Total,Published_Industry,12_Computer services,2023,107,R,NZ Dollars (millions),12 and 22 and 28,28.8,Published_Industry
_15_Type_of_research:_Basic:_Total,Sector,01_Business Sector,2022,197,R,NZ Dollars (millions),1 and 12 and 22 and 28,14.9,Sector
_23_Personnel_by_Occupation:_FTE:_Technician,Sector,01_Business Sector,2022,6100,R,Number of employees,1 and 14 and 28,9.2,Sector
_56_Funding_of_RD_undertaken_externally_by:_All_sectors,Published_Industry,02_Food_Manufacturing,2023,11,R,NZ Dollars (millions),7 and 9,140.1,Published_Industry
_11ai_Purpose_of_research:_Primary:_Plant_production_and_plant_primary_products,Industry,01_Primary Industry Group,2023,59,R,NZ Dollars (millions),12 and 15 and 28,89.6,Industry
_23_Personnel_by_Occupation:_FTE:_Technician,Size,06_100 or more employees,2022,5300,R,Number of employees,5 and 14 and 28,7.4,Size
_31_Personnel_by_Qualification:_Headcount:_Total,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,19000,R,Number of employees,14 and 28,6.7,ANZSIC_1_Digit
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,ANZSIC_1_Digit,F_Wholesale Trade,2022,16,R,NZ Dollars (millions),12 and 28,13.3,ANZSIC_1_Digit
_10_Source_of_Funds:_Other_funding_sources,Sector,01_Business Sector,2022,40,R,NZ Dollars (millions),1 and 12 and 28,17.1,Sector
_11aii_Purpose_of_research:_Primary:_Animal_production_and_animal_primary_products,Published_Industry,10_Wholesale trade,2023,21,R,NZ Dollars (millions),12 and 15 and 28,34.6,Published_Industry
_12b_Purpose_of_research:_Manufacturing,Published_Industry,02_Food_Manufacturing,2023,79,R,NZ Dollars (millions),12 and 15 and 28,15.2,Published_Industry
_15_Type_of_research:_Basic:_Total,Sector,01_Business Sector,2023,268,R,NZ Dollars (millions),1 and 12 and 22 and 28,13.7,Sector
_53_Funding_of_RD_undertaken_externally_by_the:_Tertiary_Sector,Published_Industry,02_Food_Manufacturing,2023,4,R,NZ Dollars (millions),7 and 9 and 28,75.3,Published_Industry
_56_Funding_of_RD_undertaken_externally_by:_All_sectors,Industry,02_Manufacturing Industry Group,2023,44,R,NZ Dollars (millions),7 and 9,46.3,Industry
_21_Personnel_by_Occupation:_Headcount:_Total,Published_Industry,12_Computer services,2022,8900,R,Number of employees,14 and 28,10.5,Published_Industry
_25_Personnel_by_Occupation:_FTE:_Total,Industry,02_Manufacturing Industry Group,2022,4900,R,Number of employees,14 and 28,5.9,Industry
_31_Personnel_by_Qualification:_Headcount:_Total,Published_Industry,12_Computer services,2023,8500,R,Number of employees,14 and 28,10.4,Published_Industry
_12c_Purpose_of_research:_Construction_and_transport:_Total,Sector,01_Business Sector,2023,355,R,NZ Dollars (millions),1 and 12 and 15 and 28,11.3,Sector
_18a_Personnel_by_Occupation:_Headcount:_Researcher_Employees,Industry,03_Services Industry Group,2023,13000,R,Number of employees,14 and 28,7.8,Industry
_03_Current_and_Capital_Expenditure:_Capital_Expenditure:_Total,Total,Total,2022,495,R,NZ Dollars (millions),12 and 28,9,Total
_06_Source_of_Funds:_New_Zealand_Private_sector,Published_Industry,10_Wholesale trade,2023,176,R,NZ Dollars (millions),12 and 28,17.4,Published_Industry
_22a_Personnel_by_Occupation:_FTE:_Researcher_Employees,Industry,03_Services Industry Group,2023,9200,R,Number of employees,14 and 28,8.9,Industry
_26_Personnel_by_Qualification:_Headcount:_PhD,ANZSIC_1_Digit,C_Manufacturing,2022,420,R,Number of employees,14 and 28,11.7,ANZSIC_1_Digit
_09_Source_of_Funds:_Overseas,Total,Total,2022,450,R,NZ Dollars (millions),12 and 28,14.7,Total
_14_Broad_purpose_of_research:_Other,Sector,01_Business Sector,2023,318,R,NZ Dollars (millions),1 and 12 and 15 and 20 and 28,19,Sector
_32_Personnel_by_Qualification:_FTE:_PhD,Published_Industry,02_Food_Manufacturing,2022,85,R,Number of employees,14 and 28,23.4,Published_Industry
_54_Funding_of_RD_undertaken_externally_by_the:_Overseas_Sector,Industry,03_Services Industry Group,2023,180,R,NZ Dollars (millions),7 and 9 and 28,34.3,Industry
_16_Type_of_research:_Applied,Published_Industry,02_Food_Manufacturing,2023,29,R,NZ Dollars (millions),12 and 25 and 28,30.6,Published_Industry
_20_Personnel_by_Occupation:_Headcount:_Other_supporting_staff,Industry,02_Manufacturing Industry Group,2023,990,R,Number of employees,14 and 28,11,Industry
_01_Total_RD_Expenditure,Published_Industry,02_Food_Manufacturing,2022,148,R,NZ Dollars (millions),12,10.5,Published_Industry
_06_Source_of_Funds:_New_Zealand_Private_sector,Published_Industry,07_Metal product manufacturing,2023,101,R,NZ Dollars (millions),12 and 28,15.6,Published_Industry
_09a_Source_of_Funds:_Overseas:_Overseas_organisation_in_the_same_group,Published_Industry,11_Scientific research and technical services,2022,63,R,NZ Dollars (millions),12 and 28,18.8,Published_Industry
_11ai_Purpose_of_research:_Primary:_Plant_production_and_plant_primary_products,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2022,229,R,NZ Dollars (millions),12 and 15 and 28,8.6,ANZSIC_1_Digit
_17_Type_of_research:_Experimental,Published_Industry,07_Metal product manufacturing,2023,53,R,NZ Dollars (millions),12 and 26 and 28,16,Published_Industry
_20_Personnel_by_Occupation:_Headcount:_Other_supporting_staff,Published_Industry,02_Food_Manufacturing,2023,170,R,Number of employees,14 and 28,27.1,Published_Industry
_12c_Purpose_of_research:_Construction_and_transport:_Total,Sector,01_Business Sector,2022,296,R,NZ Dollars (millions),1 and 12 and 15 and 28,10.3,Sector
_28_Personnel_by_Qualification:_Headcount:_Bachelor_degrees_or_equivalent,Industry,03_Services Industry Group,2023,16000,R,Number of employees,14 and 28,8.5,Industry
_30_Personnel_by_Qualification:_Headcount:_Other_qualifications,Published_Industry,02_Food_Manufacturing,2022,300,R,Number of employees,14 and 28,29.8,Published_Industry
_56_Funding_of_RD_undertaken_externally_by:_All_sectors,Published_Industry,02_Food_Manufacturing,2022,7,R,NZ Dollars (millions),7 and 9,41.4,Published_Industry
_14_Broad_purpose_of_research:_Other,Published_Industry,11_Scientific research and technical services,2023,97,R,NZ Dollars (millions),12 and 15 and 20 and 28,14.2,Published_Industry
_04_Current_and_Capital_Expenditure:_Other_current_expenditure,Size,05_50 to 99 employees,2022,99,R,NZ Dollars (millions),5 and 12 and 28,26.4,Size
_07_Source_of_Funds:_New_Zealand_Government_Public_sector:_Total,Total,Total,2022,1429,R,NZ Dollars (millions),12 and 21 and 28,2.5,Total
_09_Source_of_Funds:_Overseas,Industry,03_Services Industry Group,2023,436,R,NZ Dollars (millions),12 and 28,15.4,Industry
