Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error,New_Column
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,Size,06_100 or more employees,2022,2036,R,NZ Dollars (millions),5 and 12 and 28,3.7,Size
_12d_Purpose_of_research:_Information_and_communication_services,Published_Industry,12_Computer services,2022,373,R,NZ Dollars (millions),12 and 15 and 28,25.9,Published_Industry
_13_Broad_purpose_of_research:_Society,Size,06_100 or more employees,2022,878,R,NZ Dollars (millions),5 and 12 and 15 and 19 and 28,4.9,Size
_06_Source_of_Funds:_New_Zealand_Private_sector,Published_Industry,12_Computer services,2023,818,R,NZ Dollars (millions),12 and 28,15.1,Published_Industry
_11a_Purpose_of_research:_Primary:_Total,Sector,01_Business Sector,2023,540,R,NZ Dollars (millions),1 and 12 and 15 and 28,14.6,Sector
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,Published_Industry,07_Metal product manufacturing,2023,97,R,NZ Dollars (millions),12 and 15 and 18 and 28,16.2,Published_Industry
_12e_Purpose_of_research:_Commercial_services_and_tourism,Sector,01_Business Sector,2023,373,R,NZ Dollars (millions),1 and 12 and 15 and 28,16.7,Sector
_18_Personnel_by_Occupation:_Headcount:_Researcher_Total,Published_Industry,02_Food_Manufacturing,2023,560,R,Number of employees,14 and 28,15,Published_Industry
_12_Broad_purpose_of_research:_Industrial_and_infrastructure_development,Sector,01_Business Sector,2023,2176,R,NZ Dollars (millions),1 and 12 and 15 and 18 and 28,9.1,Sector
_04_Current_and_Capital_Expenditure:_Other_current_expenditure,Total,Total,2022,1818,R,NZ Dollars (millions),12 and 28,3.7,Total
_34_Personnel_by_Qualification:_FTE:_Bachelor_degrees_or_equivalent_and_post_graduate_qualifications,Published_Industry,02_Food_Manufacturing,2022,490,R,Number of employees,14 and 28,13.1,Published_Industry
_01_Total_RD_Expenditure,Industry,03_Services Industry Group,2022,2218,R,NZ Dollars (millions),12,7.5,Industry
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Sector,01_Business Sector,2022,213,R,NZ Dollars (millions),1 and 12 and 28,20,Sector
_03b_Current_and_Capital_Expenditure:_Capital_Expenditure:_Plant_and_equipment_and_machinery_and_vehicles_and_captialised_software_and_other_assets,Total,Total,2022,323,R,NZ Dollars (millions),12 and 28,13.2,Total
_09a_Source_of_Funds:_Overseas:_Overseas_organisation_in_the_same_group,Industry,03_Services Industry Group,2023,368,R,NZ Dollars (millions),12 and 28,14.4,Industry
_09a_Source_of_Funds:_Overseas:_Overseas_organisation_in_the_same_group,Sector,01_Business Sector,2023,402,R,NZ Dollars (millions),1 and 12 and 28,13.6,Sector
_12e_Purpose_of_research:_Commercial_services_and_tourism,Industry,03_Services Industry Group,2023,365,R,NZ Dollars (millions),12 and 15 and 28,16.9,Industry
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,Industry,02_Manufacturing Industry Group,2022,481,R,NZ Dollars (millions),12 and 28,6,Industry
_06_Source_of_Funds:_New_Zealand_Private_sector,Published_Industry,11_Scientific research and technical services,2022,157,R,NZ Dollars (millions),12 and 28,18.6,Published_Industry
_11ai_Purpose_of_research:_Primary:_Plant_production_and_plant_primary_products,Sector,01_Business Sector,2022,208,R,NZ Dollars (millions),1 and 12 and 15 and 28,21.4,Sector
_17_Type_of_research:_Experimental,Published_Industry,10_Wholesale trade,2022,125,R,NZ Dollars (millions),12 and 26 and 28,11.6,Published_Industry
_02_Current_and_Capital_Expenditure:_Wages_and_Salaries,ANZSIC_1_Digit,Q_Health Care and Social Assistance,2022,27,R,NZ Dollars (millions),12 and 28,25.5,ANZSIC_1_Digit
_26_Personnel_by_Qualification:_Headcount:_PhD,Published_Industry,02_Food_Manufacturing,2022,100,R,Number of employees,14 and 28,20.4,Published_Industry
_01_Total_RD_Expenditure,Industry,03_Services Industry Group,2023,2548,R,NZ Dollars (millions),12,8.9,Industry
_11a_Purpose_of_research:_Primary:_Total,Size,06_100 or more employees,2022,529,R,NZ Dollars (millions),5 and 12 and 15 and 28,6.2,Size
_12c_Purpose_of_research:_Construction_and_transport:_Total,Published_Industry,07_Metal product manufacturing,2023,10,R,NZ Dollars (millions),12 and 15 and 28,36.1,Published_Industry
_13b_Purpose_of_research:_Education_and_training,Size,06_100 or more employees,2022,120,R,NZ Dollars (millions),5 and 12 and 15 and 28,3.6,Size
_17_Type_of_research:_Experimental,ANZSIC_1_Digit,C_Manufacturing,2022,485,R,NZ Dollars (millions),12 and 26 and 28,8,ANZSIC_1_Digit
_31_Personnel_by_Qualification:_Headcount:_Total,ANZSIC_1_Digit,C_Manufacturing,2022,7000,R,Number of employees,14 and 28,7.5,ANZSIC_1_Digit
